Model,Class,Handicap,Open,18,15,Std,Club,Double
EB 29R,Open,126,x,,,,,
EB 29 (900 kg),Open,125,,,,,,
EB 29DR,Open,125,x,,,,,
JS5,Open,125,x,,,,,
AS 35 Mi 20m,Open,124,x,,,,,
EB 29 (850 kg),Open,124,x,,,,,
JS1C 21m,Open,124,x,,,,,
JS1C TJ 21m,Open,124,x,,,,,
JS2 21m,Open,124,x,,,,,
Antares 23E,Open,123,x,,,,,
Antares 23T,Open,123,x,,,,,
EB 29D (850 kg),Open,123,x,,,,,
Nixus,Open,123,x,,,,,
Quintus,Open,123,x,,,,,
ASH 31 Mi 21m,Open,122,x,,,,,
EB 28,Open,122,x,,,,,
EB 28 edition,Open,122,x,,,,,
NimEta X,Open,122,x,,,,,
Antares 20E/21,Open,121,x,,,,,
Antares 21E,Open,121,x,,,,,
ASH 30 Mi,Open,121,x,,,,,
ASW 22 BLE (850 kg),Open,121,x,,,,,
Eta,Open,121,x,,,,,
Nimbus 4M (850 kg),Open,121,x,,,,,
Nimbus 4T (850 kg),Open,121,x,,,,,
Antares 20E,Open,120,x,,,,,
AS 33 18m,18,120,x,x,,,,
AS 33 Es 18m,18,120,x,x,,,,
AS 33 Me 18m,18,120,x,x,,,,
ASH 25 EB 28,Open,120,x,,,,,
ASW 22 BLE (810 kg),Open,120,x,,,,,
Diana-3,18,120,x,x,,,,
JS3 18m,18,120,x,x,,,,
JS3 RES 18m,18,120,x,x,,,,
JS3 TJ 18m,18,120,x,x,,,,
LAK-17B 21m,Open,120,x,,,,,
LAK-17B T 21m,Open,120,x,,,,,
Nimbus 4M (800 kg),Open,120,x,,,,,
